,Negative Peak Time,Negative Peak Energy,Negative Azimuth Angle,Positive Peak Time,Positive Peak Energy,Positive Azimuth Angle,Azimuthal Ram Time,Azimuthal Ram Angle,Flyby,FlybyDate,Flyby velocity,Actuation Direction,Bulk Azimuth,Bulk Time,Bulk Deflection from Ram Angle,Negative Deflection from Ram Angle,Positive Deflection from Ram Angle,ELS crosstrack velocity,IBS crosstrack velocity,Crosstrack velocity,Absolute Crosstrack velocity,Solar Zenith Angle,Altitude,Longitude,Latitude
66,2007-06-13 17:44:21.588398000,171.6999969482422,89.92835782414477,2007-06-13 17:44:19.131206000,49.0099983215332,87.483473211194,2007-06-13 17:44:21.672657000,90.01219486161864,t32,13/6/2007,6227.479230191581,positive,88.70591551766938,2007-06-13 17:44:20.359802000,-1.3062793439492566,-0.08383703747387017,-2.528721650424643,-9.112245748668897,-274.7575800334865,-141.9672240919108,141.9672240919108,117.95567310723605,1027.432987159379,18.314440296218407,73.92506163446454
67,2007-06-13 17:45:10.180339000,704.2999877929688,89.16803455878926,2007-06-13 17:45:11.780477000,67.13999938964844,87.57588680059234,2007-06-13 17:45:09.334458000,90.00969191626018,t32,13/6/2007,6232.592424517328,negative,88.3719606796908,2007-06-13 17:45:10.980408000,-1.6377312365693797,-0.8416573574709219,-2.4338051156678375,-91.55157077084533,-264.66790637473804,-178.12693166878552,178.12693166878552,112.99308381453929,983.711051257344,13.859076114985415,78.81581658462001
68,2007-06-13 17:46:03.732710000,964.0999755859375,89.08104878204904,2007-06-13 17:46:02.245693000,69.4000015258789,87.60147988369954,2007-06-13 17:46:04.663961000,90.00763515132935,t32,13/6/2007,6234.572122160199,positive,88.34126433287429,2007-06-13 17:46:02.989201500,-1.6663708184550643,-0.9265863692803151,-2.4061552676298135,-100.82099924353702,-261.74597244866936,-181.29859790185802,181.29859790185802,107.80196067788098,965.7072132338868,1.925502814060496,83.74591576201267
69,2007-06-13 17:46:50.941814000,704.2999877929688,90.39947897964885,2007-06-13 17:46:54.387490000,66.04000091552734,86.96906676300023,2007-06-13 17:46:51.336427000,90.00683510436136,t32,13/6/2007,6233.481735582727,negative,88.68427287132454,2007-06-13 17:46:52.664652000,-1.3225622330368196,0.3926438752874901,-3.0377683413611294,42.71726973432276,-330.33852333496594,-143.87508980478634,143.87508980478634,102.82920693866637,974.3730544678607,310.53147489548326,87.18010843655601
70,2007-06-13 17:47:46.843330000,146.89999389648438,89.18520577557683,2007-06-13 17:47:44.764226000,50.65999984741211,87.11651543165135,2007-06-13 17:47:47.668749000,90.00649043547729,t32,13/6/2007,6229.475170989448,positive,88.15086060361409,2007-06-13 17:47:45.803778000,-1.8556298318631974,-0.8212846599004564,-2.8899750038259384,-89.290995630826,-314.0788888445298,-201.7178113651305,201.7178113651305,97.5753724343075,1011.3964101537138,238.40884566512509,84.57885872858198
71,2007-10-02 04:40:16.918712000,35.84000015258789,90.88911964873569,2007-10-02 04:40:14.358159000,21.40999984741211,88.34136986398516,2007-10-02 04:40:16.023944000,89.9988268404272,t36,2/10/2007,6293.357760946137,positive,89.61524475636043,2007-10-02 04:40:15.638435500,-0.38358208406677363,0.8902928083084873,-1.6574569764420346,97.78566130405495,-182.02937535930448,-42.132270013133386,42.132270013133386,81.14729541612824,1084.9881067382412,81.48944888347211,-56.12801761391027
72,2007-10-02 04:41:08.678506000,125.0999984741211,89.29988964550648,2007-10-02 04:41:09.726212000,34.61000061035156,88.25742039776742,2007-10-02 04:41:07.975586000,89.9992940580239,t36,2/10/2007,6300.769920585453,negative,88.77865502163695,2007-10-02 04:41:09.202359000,-1.220639036386956,-0.6994044125174241,-1.7418736602564877,-76.911019998954,-191.52291340236448,-134.2225208000694,134.2225208000694,76.24104642963154,1018.9866906605768,90.45705583109404,-58.02995394587867
73,2007-10-02 04:41:58.992838000,375.8999938964844,90.96287494470744,2007-10-02 04:41:57.270499000,60.790000915527344,89.24914956406701,2007-10-02 04:41:58.025001000,89.99987816327415,t36,2/10/2007,6304.576673654457,positive,90.10601225438722,2007-10-02 04:41:58.131668500,0.10613409111307703,0.96299678143329,-0.750728599207136,105.95895986532601,-82.60452389762023,11.678523935407096,11.678523935407096,71.64516970254763,983.846401175189,99.62403283781161,-59.189198587403304
74,2007-10-02 04:42:50.552054000,274.79998779296875,90.4257092197422,2007-10-02 04:42:52.200596000,52.369998931884766,88.77940726280212,2007-10-02 04:42:50.979530000,90.00037054266656,t36,2/10/2007,6305.739203525773,negative,89.60255824127216,2007-10-02 04:42:51.376325000,-0.3978123013943957,0.42533867707564355,-1.220963279864435,46.810605583024106,-134.3640560526752,-43.781243423460644,43.781243423460644,66.5994079356593,973.7704014412578,110.23316943017,-59.67728933433297
75,2007-10-02 04:43:41.720644000,235.0,90.69704336440918,2007-10-02 04:43:39.998023000,49.0099983215332,88.97802639007568,2007-10-02 04:43:41.020566000,90.00046666686049,t36,2/10/2007,6303.865343265516,positive,89.83753487724243,2007-10-02 04:43:40.859333500,-0.16293178961805665,0.6965766975486929,-1.0224402767848062,76.63771342543383,-112.48618675401781,-17.926253666955404,17.926253666955404,61.946614145817676,990.9365515271447,120.11420688344084,-59.35637116281399
