,Peak Energy,Peak Elevation,Peak Azimuth,Azimuthal Ram Angle,Azimuthal Ram Time,Heavy Anion Peak Time,Heavy Anion Azimuth Angle,Flyby,Spacecraft Potential (LP),Instrument,Actuation Direction,Heavy Cation Peak Time,Heavy Cation Azimuth Angle,Azimuthal Angle to Heavy Ion,Azimuthal Angle to Ram,Deflection from Bulk,Bulk Azimuth,Bulk Time,Bulk Deflection from Ram Angle
2007-05-12 20:09:37.910908,440.1983808240293,2.774401960904633,94.10654502054877,90.91804138264814,2007-05-12 20:09:41.115442,2007-05-12 20:09:37.995128,94.02274627761199,t30,-0.5625,els,negative,,,0.08379874293677858,3.1885036379006237,1.4924440384106674,92.6141009821381,2007-05-12 20:09:39.410855000,1.6960595994899563
2007-05-12 20:09:38.976491,5.9122387967894205,,93.04629108302106,90.87142021527794,2007-05-12 20:09:41.162298,,,t30,-0.5633333333333334,ibs,negative,2007-05-12 20:09:40.627631,91.40341096612974,1.6428801168913196,2.174870867743124,0.4321901008829627,92.6141009821381,2007-05-12 20:09:39.410855000,1.7426807668601612
2007-05-12 20:09:39.298847,7.9461361603137695,,92.72554722162113,90.85731714025917,2007-05-12 20:09:41.176472,,,t30,-0.5641666666666667,ibs,negative,2007-05-12 20:09:40.826582,91.20545568666421,1.5200915349569186,1.8682300813619577,0.11144623948302979,92.6141009821381,2007-05-12 20:09:39.410855000,1.7567838418789279
2007-05-12 20:09:39.375760,10.535774546795428,,92.64901875100259,90.85395223440304,2007-05-12 20:09:41.179853,,,t30,-0.5641666666666667,ibs,negative,2007-05-12 20:09:40.826582,91.20545568666421,1.4435630643383774,1.7950665165995474,0.03491776886448861,92.6141009821381,2007-05-12 20:09:39.410855000,1.7601487477350588
2007-05-12 20:09:39.386622,12.948908994982203,,92.63821119834574,90.85347702644857,2007-05-12 20:09:41.180331,,,t30,-0.5641666666666667,ibs,negative,2007-05-12 20:09:40.826582,91.20545568666421,1.4327555116815347,1.7847341718971705,0.024110216207645863,92.6141009821381,2007-05-12 20:09:39.410855000,1.7606239556895247
2007-05-12 20:09:39.549742,15.258664534760625,,92.4759069413767,90.84634065932164,2007-05-12 20:09:41.187503,,,t30,-0.5641666666666667,ibs,negative,2007-05-12 20:09:40.826582,91.20545568666421,1.2704512547124978,1.629566282055066,-0.13819404076139108,92.6141009821381,2007-05-12 20:09:39.410855000,1.7677603228164571
2007-05-12 20:09:39.551390,17.797469172457596,,92.47426723366425,90.84626855842993,2007-05-12 20:09:41.187576,,,t30,-0.5641666666666667,ibs,negative,2007-05-12 20:09:40.826582,91.20545568666421,1.2688115470000412,1.6279986752343234,-0.13983374847384766,92.6141009821381,2007-05-12 20:09:39.410855000,1.767832423708171
2007-05-12 20:09:39.593674,20.250957049723844,,92.43219468704683,90.84441867861672,2007-05-12 20:09:41.189435,,,t30,-0.5641666666666667,ibs,negative,2007-05-12 20:09:40.826582,91.20545568666421,1.2267390003826222,1.5877760084301116,-0.18190629509126666,92.6141009821381,2007-05-12 20:09:39.410855000,1.7696823035213782
2007-05-12 20:09:39.937166,37.571574954475956,,92.09042048299398,90.82939141939212,2007-05-12 20:09:41.204538,,,t30,-0.5641666666666667,ibs,negative,2007-05-12 20:09:40.826582,91.20545568666421,0.8849647963297684,1.2610290636018533,-0.5236804991441204,92.6141009821381,2007-05-12 20:09:39.410855000,1.7847095627459737
2007-05-12 20:10:31.077921,5.934085245625896,,88.12050027314399,88.59365119793162,2007-05-12 20:10:31.553448,,,t30,-0.5825,ibs,positive,2007-05-12 20:10:32.273241,89.30984708493634,-1.1893468117923476,-0.47315092478763177,-2.1800914194177494,90.30059169256174,2007-05-12 20:10:33.268962000,1.7069404946301177
