Peak Time,Peak Energy,Peak Elevation,Peak Azimuth,Azimuthal Ram Angle,Heavy Anion Azimuth Angle,Flyby,Spacecraft Potential (LP),Instrument,Actuation Direction,Heavy Cation Azimuth Angle,Heavy Anion Azimuthal Deflection,Heavy Cation Azimuthal Deflection,Azimuthal Angle to Ram,Abs Azimuthal Angle to Ram,Deflection from Bulk,Bulk Deflection from Ram
55:53.4,13.30313642,-57.05824296,64.26516944,66.2851382,65.80802917,t20,-0.7025,els,positive,,-1.542859737,,-2.019968766,2.019968766,0.06334197,-1.606201706
57:14.3,7.363281676,-59.31672674,81.51885777,80.43703564,80.84608459,t20,-0.72,els,negative,,0.672773174,,1.081822133,1.081822133,0.8820905,-0.209317326
57:14.6,3.047691513,-59.51123384,81.22333209,80.49007017,80.84608459,t20,-0.72,els,negative,,0.377247492,,0.733261912,0.733261912,0.586564818,-0.209317326
57:14.9,13.73050428,-58.19063438,80.97314897,80.53496719,80.84608459,t20,-0.72,els,negative,,0.127064376,,0.438181778,0.438181778,0.336381702,-0.209317326
57:19.5,5.412702755,,76.41024667,81.35399594,,t20,-0.72,ibs,negative,74.86593628,,1.544310391,-4.943749265,4.943749265,1.753627717,-0.209317326
57:20.5,7.493385164,,75.36957272,81.5399519,,t20,-0.72,ibs,negative,74.86593628,,0.503636443,-6.170379174,6.170379174,0.712953769,-0.209317326
57:20.8,9.537599553,,75.02468902,81.60157444,,t20,-0.72,ibs,negative,74.86593628,,0.158752737,-6.57688542,6.57688542,0.368070063,-0.209317326
57:21.1,11.79756264,,74.7993821,81.64188995,,t20,-0.72,ibs,negative,74.86593628,,-0.066554182,-6.842507856,6.842507856,0.142763144,-0.209317326
57:21.4,13.52512595,,74.51579662,81.69281146,,t20,-0.72,ibs,negative,74.86593628,,-0.350139657,-7.177014836,7.177014836,-0.140822331,-0.209317326
57:21.5,16.10692908,,74.32023725,81.72792583,,t20,-0.72,ibs,negative,74.86593628,,-0.545699028,-7.407688576,7.407688576,-0.336381702,-0.209317326
39:19.7,7.248326369,-1.35980656,92.76437317,90.00373835,92.04470825,t21,-1.036326603,els,positive,,0.719664916,,2.760634816,2.760634816,,
39:23.5,10.18335584,,95.60982755,90.00373529,,t21,-0.932765959,ibs,positive,94.03470612,,1.57512143,5.606092253,5.606092253,,
39:24.2,2.948303968,1.073815541,96.27693572,90.00374077,92.04470825,t21,-0.929148938,els,positive,,4.232227464,,6.27319495,6.27319495,,
39:25.1,7.654167671,,97.22600896,90.00374686,,t21,-0.925531917,ibs,positive,94.03470612,,3.191302841,7.222262092,7.222262092,,
39:27.4,5.851623324,,99.30185425,90.00373115,,t21,-0.918297874,ibs,positive,94.03470612,,5.267148137,9.298123101,9.298123101,,
39:59.5,3.028825336,-0.4435227,98.84636295,90.00370575,95.03477478,t21,-0.802553199,els,negative,,3.811588168,,8.842657197,8.842657197,3.435430813,0.376157355
